stream,condition,step,method,replicate,probe_count,model_probe_cost_NOT_CURRENCY,planning_seconds,probe_seconds,tool_seconds,payload_sha256,relevant_channels,channel_legal,channel_stale,relevant_legal,relevant_stale,semantic_mismatches,interface_failure,plan_follows_evidence,answer_value_correct,success,missing_call,finish_reason,stale_propagation_consistent,normative_reference_success_NOT_LLM,output_source
0,matched_low,0,myopic,primary,0,0.0,6.91672321408987e-05,8.708098903298378e-06,0.00010649999603629112,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,0,recheck,primary,0,0.0,2.466607838869095e-05,8.207978680729866e-06,9.841704741120338e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,1,myopic,primary,0,0.0,8.929194882512093e-05,5.00003807246685e-06,4.7999899834394455e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,1,recheck,primary,1,0.22,0.00014345906674861908,2.604094333946705e-05,0.00012112502008676529,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,2,myopic,primary,1,0.22,8.604093454778194e-05,1.4874851331114769e-05,5.437503568828106e-05,6ae7444e68d53aedd4b8a3270203e83c94a99f0a7ed1e6adf88a31fe54cc6688,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,2,recheck,primary,1,0.22,9.600003249943256e-05,0.0001674580853432417,0.0002564170863479376,6ae7444e68d53aedd4b8a3270203e83c94a99f0a7ed1e6adf88a31fe54cc6688,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,3,myopic,primary,1,0.22,4.9208058044314384e-05,1.3582874089479446e-05,9.324983693659306e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,3,recheck,primary,1,0.22,0.00017416710034012794,5.320785567164421e-05,6.316718645393848e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,4,myopic,primary,0,0.0,0.00013329205103218555,9.833136573433876e-06,2.0416919142007828e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,4,recheck,primary,0,0.0,6.983312778174877e-05,9.333016350865364e-06,5.374988541007042e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,5,myopic,primary,0,0.0,1.4707911759614944e-05,2.0831357687711716e-06,0.00016908394172787666,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,5,myopic,repeat,0,0.0,0.0,0.0,4.591606557369232e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,5,recheck,primary,1,0.22,0.00027766707353293896,7.312488742172718e-05,8.299993351101875e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,5,recheck,repeat,0,0.0,0.0,0.0,9.316578507423401e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,6,myopic,primary,1,0.22,0.0009692918974906206,7.512490265071392e-05,8.74579418450594e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,6,recheck,primary,0,0.0,8.300016634166241e-05,1.5999889001250267e-05,5.783280357718468e-05,22f0bb72a09933398f550cfce0cb05f5277a6e6dd39eb61b031e6f5e0283927f,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,7,myopic,primary,0,0.0,7.19169620424509e-05,1.9625062122941017e-05,9.55839641392231e-05,3bcfdf774097b0e1f084fb5c3f1e4e7203c6987210888807e21f8ed9462924b0,"[false, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,7,recheck,primary,0,0.0,0.00017004203982651234,8.041970431804657e-06,2.9792077839374542e-05,3bcfdf774097b0e1f084fb5c3f1e4e7203c6987210888807e21f8ed9462924b0,"[false, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,8,myopic,primary,0,0.0,0.00010320800356566906,9.709037840366364e-06,3.258395008742809e-05,3bcfdf774097b0e1f084fb5c3f1e4e7203c6987210888807e21f8ed9462924b0,"[false, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,8,recheck,primary,0,0.0,5.6999968364834785e-05,7.582828402519226e-06,9.46668442338705e-05,3bcfdf774097b0e1f084fb5c3f1e4e7203c6987210888807e21f8ed9462924b0,"[false, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,9,myopic,primary,1,0.22,4.5582884922623634e-05,3.591692075133324e-05,5.508307367563248e-05,a939fd8358523b32459d025e053da342a5e1fa5b87954ba19ec502b439bd49e0,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,9,recheck,primary,1,0.22,8.458294905722141e-05,2.108304761350155e-05,4.337495192885399e-05,a939fd8358523b32459d025e053da342a5e1fa5b87954ba19ec502b439bd49e0,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,10,myopic,primary,1,0.22,4.237494431436062e-05,1.0041985660791397e-05,4.3082982301712036e-05,43c26c41afaa570c7abf4b56ff60dde6f261d43b2a65bf20ff2c024d5c40226c,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,10,recheck,primary,1,0.22,5.0416914746165276e-05,3.120908513665199e-05,9.1959023848176e-05,43c26c41afaa570c7abf4b56ff60dde6f261d43b2a65bf20ff2c024d5c40226c,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
0,matched_low,11,myopic,primary,0,0.0,6.329198367893696e-05,2.2541964426636696e-05,5.550007335841656e-05,43c26c41afaa570c7abf4b56ff60dde6f261d43b2a65bf20ff2c024d5c40226c,"[false, true]","[true, true]","[false, true]",True,True,1,False,True,False,False,False,stop,True,False,deterministic renderer; plan was LLM-generated
0,matched_low,11,recheck,primary,0,0.0,9.395810775458813e-05,6.583984941244125e-06,4.4416869059205055e-05,43c26c41afaa570c7abf4b56ff60dde6f261d43b2a65bf20ff2c024d5c40226c,"[false, true]","[true, true]","[false, true]",True,True,1,False,True,False,False,False,stop,True,False,deterministic renderer; plan was LLM-generated
1,matched_low,0,myopic,primary,0,0.0,3.337487578392029e-05,1.4458084478974342e-05,0.0002115420065820217,638287179cbbfad15a1fd9b6ae5944f2f831b1156cb9cc1629200d7c35f9ce8a,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,0,recheck,primary,0,0.0,6.154202856123447e-05,7.416820153594017e-06,0.00010675005614757538,638287179cbbfad15a1fd9b6ae5944f2f831b1156cb9cc1629200d7c35f9ce8a,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,1,myopic,primary,0,0.0,4.7250185161828995e-05,1.570885069668293e-05,6.66249543428421e-05,174d53415ceaea15574ab73845e1777e55026832089a6a9077c79015e500a217,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,1,recheck,primary,1,0.22,0.0005379158537834883,9.63748898357153e-05,5.008396692574024e-05,174d53415ceaea15574ab73845e1777e55026832089a6a9077c79015e500a217,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,2,myopic,primary,1,0.22,4.9208058044314384e-05,1.995800994336605e-05,6.329221650958061e-05,924d5e2a9b0fff4944f7f4d72788b3aa9caa893bb144ffc984f62b3a82e52f24,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,2,recheck,primary,0,0.0,9.391689673066139e-05,3.141583874821663e-05,4.137493669986725e-05,924d5e2a9b0fff4944f7f4d72788b3aa9caa893bb144ffc984f62b3a82e52f24,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,3,myopic,primary,0,0.0,6.174994632601738e-05,5.37489540874958e-06,3.795907832682133e-05,77d405b5b9a7b9d032a6a2dc1675e881dec3a8aeab4173df808939c49d367099,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,3,recheck,primary,1,0.22,4.7999899834394455e-05,1.2333039194345474e-05,5.3958967328071594e-05,77d405b5b9a7b9d032a6a2dc1675e881dec3a8aeab4173df808939c49d367099,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,4,myopic,primary,0,0.0,2.987496554851532e-05,4.417030140757561e-06,4.670885391533375e-05,69d9fba0b3b9dd6c38a11a5334a45e692dc4a901c965a90cbcd1350450540e4a,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,4,recheck,primary,0,0.0,9.874999523162842e-05,1.0208925232291222e-05,5.0541944801807404e-05,69d9fba0b3b9dd6c38a11a5334a45e692dc4a901c965a90cbcd1350450540e4a,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,5,myopic,primary,1,0.22,4.474981687963009e-05,3.287498839199543e-05,7.283315062522888e-05,fddea679b9f516e851e48ee5a491602fbce296e8b303c44270e0c58b032a1ecc,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,5,myopic,repeat,0,0.0,0.0,0.0,5.495804361999035e-05,fddea679b9f516e851e48ee5a491602fbce296e8b303c44270e0c58b032a1ecc,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,5,recheck,primary,1,0.22,6.291689351201057e-05,1.791701652109623e-05,4.787510260939598e-05,fddea679b9f516e851e48ee5a491602fbce296e8b303c44270e0c58b032a1ecc,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,5,recheck,repeat,0,0.0,0.0,0.0,3.050011582672596e-05,fddea679b9f516e851e48ee5a491602fbce296e8b303c44270e0c58b032a1ecc,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,6,myopic,primary,0,0.0,0.0001663749571889639,7.4999406933784485e-06,5.0459057092666626e-05,478ead0e0bdb394e502ff660ac1ed7243d7b1ea5f5b6b904b1ad363e5d99dcbb,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,6,recheck,primary,0,0.0,6.595789454877377e-05,4.290835931897163e-06,3.5542063415050507e-05,478ead0e0bdb394e502ff660ac1ed7243d7b1ea5f5b6b904b1ad363e5d99dcbb,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,7,myopic,primary,0,0.0,4.824995994567871e-05,1.2416159734129906e-05,5.683302879333496e-05,174d53415ceaea15574ab73845e1777e55026832089a6a9077c79015e500a217,"[false, true]","[true, true]","[false, true]",True,True,1,False,True,False,False,False,stop,True,False,deterministic renderer; plan was LLM-generated
1,matched_low,7,recheck,primary,1,0.22,5.8833975344896317e-05,0.00011954200454056263,0.0001391249243170023,ede479e29b61364eacd13577d0a7e3b0afa9e52877d8ce754e22a0d467ce702c,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,8,myopic,primary,1,0.22,5.6208111345767975e-05,2.7458881959319115e-05,6.104190833866596e-05,7cfb0d93cbb865d2b31a0cf9e6d0867ff7d5a275abc77e0ab7bd896189e3b74d,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,8,recheck,primary,0,0.0,4.795799031853676e-05,1.254212111234665e-05,5.874992348253727e-05,7cfb0d93cbb865d2b31a0cf9e6d0867ff7d5a275abc77e0ab7bd896189e3b74d,"[false, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,9,myopic,primary,1,0.22,5.825003609061241e-05,2.3083994165062904e-05,5.020899698138237e-05,0c8b5f6e019b5b583193de08dd7125c92a8ddaef97a6ef11fe790f5b7a2be145,"[true, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,9,recheck,primary,2,0.44,6.274995394051075e-05,2.5250017642974854e-05,0.00015416601672768593,0c8b5f6e019b5b583193de08dd7125c92a8ddaef97a6ef11fe790f5b7a2be145,"[true, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,10,myopic,primary,0,0.0,5.350005812942982e-05,3.834022209048271e-06,6.670807488262653e-05,25c9feeb2b2d41c106f98988ea36ed2756f3591eb10fb928f7ac75869f7509b5,"[true, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,10,recheck,primary,0,0.0,5.1165930926799774e-05,1.1041993275284767e-05,4.154094494879246e-05,25c9feeb2b2d41c106f98988ea36ed2756f3591eb10fb928f7ac75869f7509b5,"[true, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,11,myopic,primary,1,0.22,5.191704258322716e-05,4.5291148126125336e-05,6.650015711784363e-05,23b408ff4cc3f7eaedb538d21df4eb9b7bfd82c5efc124b57eb6c42d89ec3692,"[true, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
1,matched_low,11,recheck,primary,0,0.0,3.783288411796093e-05,4.332978278398514e-06,0.00012404215522110462,25c9feeb2b2d41c106f98988ea36ed2756f3591eb10fb928f7ac75869f7509b5,"[true, true]","[true, true]","[false, true]",True,True,1,False,True,False,False,False,stop,True,False,deterministic renderer; plan was LLM-generated
2,matched_low,0,myopic,primary,0,0.0,4.037492908537388e-05,1.5207799151539803e-05,9.266706183552742e-05,373a71e5f987c0f947cd983d6eeefc00aeab14416d7b055a6756c9a0c81a7c52,"[true, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
2,matched_low,0,recheck,primary,0,0.0,7.558404467999935e-05,4.499917849898338e-06,7.308297790586948e-05,373a71e5f987c0f947cd983d6eeefc00aeab14416d7b055a6756c9a0c81a7c52,"[true, true]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
2,matched_low,1,myopic,primary,0,0.0,4.4791027903556824e-05,1.0083895176649094e-05,7.254094816744328e-05,a939fd8358523b32459d025e053da342a5e1fa5b87954ba19ec502b439bd49e0,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
2,matched_low,1,recheck,primary,1,0.22,5.012494511902332e-05,1.950003206729889e-05,6.016693077981472e-05,a939fd8358523b32459d025e053da342a5e1fa5b87954ba19ec502b439bd49e0,"[true, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
2,matched_low,2,myopic,primary,0,0.0,4.700012505054474e-05,5.666865035891533e-06,9.779189713299274e-05,3bcfdf774097b0e1f084fb5c3f1e4e7203c6987210888807e21f8ed9462924b0,"[false, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
2,matched_low,2,recheck,primary,0,0.0,7.899990305304527e-05,1.4082994312047958e-05,4.020892083644867e-05,3bcfdf774097b0e1f084fb5c3f1e4e7203c6987210888807e21f8ed9462924b0,"[false, false]","[true, true]","[false, false]",True,False,0,False,True,True,True,False,stop,False,True,deterministic renderer; plan was LLM-generated
