stream,condition,step,method,replicate,probe_count,credits_spent,budget_before,budget_after,planning_seconds,probe_seconds,tool_seconds,model_probe_cost_NOT_CURRENCY,payload_sha256,relevant_channels,stale_channels,semantic_mismatches,success,interface_failure,plan_follows_evidence,answer_value_correct,tool_trace_recomputed_equal,normative_reference_success_NOT_LLM,stale_propagation_consistent,stale_but_answer_correct,missing_call,finish_reason
0,overlap_matched,0,age_paced,primary,0,0,8,8,7.00005330145359e-06,1.8749851733446121e-06,0.0001445829402655363,0.0,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,0,bundle_myopic,primary,1,3,8,5,6.145890802145004e-05,1.8666964024305344e-05,0.00012754113413393497,0.15000000000000002,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,0,bundle_rollout,primary,0,0,8,8,0.010322249960154295,1.4666002243757248e-05,9.154086001217365e-05,0.0,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,0,recheck_joint,primary,0,0,8,8,0.08488691691309214,6.332993507385254e-06,6.466591730713844e-05,0.0,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,1,age_paced,primary,1,3,8,5,5.091610364615917e-05,1.6250181943178177e-05,3.8499943912029266e-05,0.15000000000000002,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,1,bundle_myopic,primary,1,3,5,2,2.691592089831829e-05,1.4666933566331863e-05,9.654182940721512e-05,0.15000000000000002,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,1,bundle_rollout,primary,1,3,8,5,0.005705459043383598,1.7666956409811974e-05,9.579211473464966e-05,0.15000000000000002,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,1,recheck_joint,primary,0,0,8,8,0.00013570883311331272,9.999843314290047e-06,0.00010395911522209644,0.0,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,2,age_paced,primary,1,3,5,2,5.4416945204138756e-05,1.7042038962244987e-05,9.02500469237566e-05,0.15000000000000002,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,2,bundle_myopic,primary,1,2,2,0,3.195879980921745e-05,9.499955922365189e-06,0.00010075001046061516,0.1,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,2,bundle_rollout,primary,0,0,5,5,0.001059416914358735,2.2498425096273422e-06,9.770807810127735e-05,0.0,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,2,recheck_joint,primary,1,3,8,5,0.00018029194325208664,1.1249911040067673e-05,0.00011362507939338684,0.15000000000000002,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,3,age_paced,primary,0,0,2,2,3.67090106010437e-05,9.125098586082458e-06,5.3208088502287865e-05,0.0,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,3,bundle_myopic,primary,0,0,0,0,5.729217082262039e-05,7.417052984237671e-06,0.00011337501928210258,0.0,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,3,bundle_myopic,repeat,0,0,0,0,0.0,0.0,8.337479084730148e-05,0.0,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,3,bundle_rollout,primary,0,0,5,5,0.0019892079290002584,5.958136171102524e-06,6.17089681327343e-05,0.0,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,3,recheck_joint,primary,0,0,5,5,0.00013445806689560413,7.00005330145359e-06,5.545886233448982e-05,0.0,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,3,recheck_joint,repeat,0,0,5,5,0.0,0.0,8.27498733997345e-05,0.0,72a4f633eeb91ac1a7f62531cf82d0a450819e3623a084d4be3b09bb3823dd75,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,4,age_paced,primary,0,0,2,2,1.4374963939189911e-05,4.708999767899513e-06,0.00011079083196818829,0.0,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,4,bundle_myopic,primary,0,0,0,0,3.74580267816782e-05,8.458038792014122e-06,5.654105916619301e-05,0.0,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,4,bundle_rollout,primary,1,3,5,2,0.0011632500682026148,1.0167015716433525e-05,0.00014220783486962318,0.15000000000000002,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,4,recheck_joint,primary,0,0,5,5,0.00014562485739588737,9.582843631505966e-06,5.925004370510578e-05,0.0,0cf144e56370fb58e8233671a1984c7fc5fa5b8f2479e94260f176972b9992f9,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,5,age_paced,primary,1,2,2,0,4.583294503390789e-05,1.195794902741909e-05,8.237501606345177e-05,0.1,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,5,bundle_myopic,primary,0,0,0,0,2.237502485513687e-05,3.250082954764366e-06,9.85830556601286e-05,0.0,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,5,bundle_rollout,primary,0,0,2,2,0.0003218750935047865,6.792135536670685e-06,7.733306847512722e-05,0.0,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,5,recheck_joint,primary,1,3,5,2,8.079200051724911e-05,8.5409265011549e-06,5.333404988050461e-05,0.15000000000000002,f0be6a6df19de3ac1156b41bb2bc8a0451d8febc86f6ce64b4e34f3754623b15,"[0, 1]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,6,age_paced,primary,0,0,0,0,1.3333046808838844e-05,1.091696321964264e-05,0.00017933384515345097,0.0,03fc7b66cf453c0b74b155eeb49503943929e34f475488b182d166586789c8c5,"[0, 1, 2]",[2],1,False,False,True,False,True,False,True,False,False,stop
0,overlap_matched,6,bundle_myopic,primary,0,0,0,0,4.337495192885399e-05,1.1167023330926895e-05,0.00011266721412539482,0.0,e6a5554f5d2c6a56b0c21df9d25b61ab7effc16259bef38e977818535aaf41a5,"[0, 1, 2]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,6,bundle_rollout,primary,1,2,2,0,0.00019029201939702034,9.499955922365189e-06,9.549991227686405e-05,0.1,e6a5554f5d2c6a56b0c21df9d25b61ab7effc16259bef38e977818535aaf41a5,"[0, 1, 2]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,6,recheck_joint,primary,1,2,2,0,5.175010301172733e-05,1.1167023330926895e-05,0.00011254195123910904,0.1,e6a5554f5d2c6a56b0c21df9d25b61ab7effc16259bef38e977818535aaf41a5,"[0, 1, 2]",[],0,True,False,True,True,True,True,False,False,False,stop
0,overlap_matched,7,age_paced,primary,0,0,0,0,1.670815981924534e-05,7.750000804662704e-06,5.983305163681507e-05,0.0,8bcbbd9750ba56e68778d2a6e5981e1da76f2ba73f7350bfb3953a682b51458f,[2],[2],1,False,False,True,False,True,False,True,False,False,stop
